,基金代码,基金简称,基金条码,涨幅,期间分红,分红次数,起始日期,单位净值,累计净值,终止日期,单位净值,累计净值,成立日期,无用1,无用1.5,无用2,手续费,无用3,无用4
71,163110,申万菱信量化小盘股票(LOF)A,SWLXLHXPGPLOFA,17.685,,0,2016/4/1,2.311,2.311,2017/3/31,2.7197,2.7197,2011/6/16,1,0.15%,1,0.15%,1,1.50%
72,165525,信诚中证基建工程指数(LOF)A,XCZZJJGCZSLOFA,17.565,,0,2016/4/1,1.076,1.084,2017/3/31,1.265,1.273,2015/8/6,1,0.10%,1,0.10%,1,1.00%
73,519965,长信量化多策略股票A,CXLHDCLGPA,17.5487,,0,2016/4/1,1.077,1.077,2017/3/31,1.266,1.266,2015/7/14,1,0.15%,1,0.15%,1,1.50%
74,1717,工银前沿医疗股票A,GYQYYLGPA,17.5124,,0,2016/4/1,1.005,1.005,2017/3/31,1.181,1.181,2016/2/3,1,0.15%,1,0.15%,1,1.50%
75,1974,景顺长城量化新动力股票,JSCCLHXDLGP,17.5,,0,2016/7/13,1,1,2017/3/31,1.175,1.175,2016/7/13,1,0.15%,1,0.15%,1,1.50%
76,740101,长安沪深300非周期,CAHS300FZQ,17.3721,0.429,1,2016/4/1,1.232,1.307,2017/3/31,1.011,1.515,2012/6/25,1,0.15%,1,0.15%,1,1.50%
77,756,建信潜力新蓝筹股票A,JXQLXLCGPA,17.3367,,0,2016/4/1,1.194,1.194,2017/3/31,1.401,1.401,2014/9/10,1,0.15%,1,0.15%,1,1.50%
78,160638,鹏华中证一带一路主题指数(LOF),PHZZYDYLZTZSLOF,17.3335,,0,2016/4/1,0.767,0.492,2017/3/31,0.866,0.574,2015/5/18,1,0.12%,1,0.12%,1,1.20%
79,1047,光大国企改革股票,GDGQGGGP,17.2373,,0,2016/4/1,0.847,0.847,2017/3/31,0.993,0.993,2015/3/25,1,0.15%,1,0.15%,1,1.50%
80,50013,博时上证超大盘ETF联接,BSSZCDPETFLJ,17.192,,0,2016/4/1,0.7678,0.7678,2017/3/31,0.8998,0.8998,2009/12/29,1,0.12%,1,0.12%,1,1.20%
81,751,嘉实新兴产业股票,JSXXCYGP,17.145,,0,2016/4/1,1.359,1.359,2017/3/31,1.592,1.592,2014/9/17,1,0.15%,1,0.15%,1,1.50%
82,110030,易方达沪深300量化增强,YFDHS300LHZQ,17.0846,,0,2016/4/1,1.6588,1.6588,2017/3/31,1.9422,1.9422,2012/7/5,1,0.15%,1,0.15%,1,1.50%
83,165519,信诚中证800医药指数(LOF)A,XCZZ800YYZSLOFA,16.9884,,0,2016/4/1,0.734,1.32,2017/3/31,0.833,1.443,2013/8/16,1,0.12%,1,0.12%,1,1.20%
84,530015,建信深证基本面60ETF联接A,JXSZJBM60ETFLJA,16.9028,,0,2016/4/1,1.3057,1.3057,2017/3/31,1.5264,1.5264,2011/9/8,1,0.15%,1,0.15%,1,1.50%
85,161715,招商大宗商品(LOF),ZSDZSPLOF,16.8841,,0,2016/4/1,0.923,1.036,2017/3/31,1.053,1.191,2012/6/28,1,0.12%,1,0.12%,1,1.20%
86,519671,银河沪深300价值指数A,YHHS300JZZSA,16.8216,,0,2016/4/1,1.076,1.076,2017/3/31,1.257,1.257,2009/12/28,1,0.12%,1,0.12%,1,1.20%
87,163808,中银中证100指数增强,ZYZZ100ZSZQ,16.8103,,0,2016/4/1,0.928,0.938,2017/3/31,1.084,1.094,2009/9/4,1,0.15%,1,0.15%,1,1.50%
88,161724,招商中证煤炭等权指数(LOF)A,ZSZZMTDQZSLOFA,16.7824,,0,2016/4/1,0.987,0.664,2017/3/31,1.13,0.774,2015/5/20,1,0.10%,1,0.10%,1,1.00%
89,519975,长信量化中小盘股票,CXLHZXPGP,16.4623,0.4,1,2016/4/1,1.253,1.253,2017/3/31,1.063,1.463,2015/2/4,1,0.15%,1,0.15%,1,1.50%
90,162213,泰达宏利沪深300指数增强A,TDHLHS300ZSZQA,16.4169,0.42,1,2016/4/1,1.5044,1.5244,2017/3/31,1.2519,1.6919,2010/4/23,1,0.12%,1,0.12%,1,1.20%
91,159945,广发中证全指能源ETF,GFZZQZNYETF,16.3875,,0,2016/4/1,0.6328,0.6328,2017/3/31,0.7365,0.7365,2015/6/25,,,,,,
92,450009,国富中小盘股票,GFZXPGP,16.3743,0.5177,1,2016/4/1,1.794,1.794,2017/3/31,1.573,2.091,2010/11/23,1,0.15%,1,0.15%,1,1.50%
93,159944,广发中证全指原材料ETF,GFZZQZYCLETF,16.2685,,0,2016/4/1,0.7702,0.7702,2017/3/31,0.8955,0.8955,2015/6/25,,,,,,
94,991,工银战略转型股票A,GYZLZXGPA,16.144,,0,2016/4/1,0.861,0.861,2017/3/31,1,1,2015/2/16,1,0.15%,1,0.15%,1,1.50%
95,159905,工银深证红利ETF,GYSZHLETF,16.1396,,0,2016/4/1,1.1066,1.1066,2017/3/31,1.2852,1.2852,2010/11/5,,,,,,
96,159910,嘉实深证基本面120ETF,JSSZJBM120ETF,16.0863,,0,2016/4/1,1.2694,1.2694,2017/3/31,1.4736,1.4736,2011/8/1,,,,,,
97,161017,富国中证500指数增强(LOF)A,FGZZ500ZSZQLOFA,16.0832,,0,2016/4/1,1.828,1.828,2017/3/31,2.122,2.122,2011/10/12,1,0.15%,1,0.15%,1,1.50%
98,1736,圆信永丰优加生活,YXYFYJSH,16.0181,,0,2016/4/1,1.105,1.105,2017/3/31,1.282,1.282,2015/10/28,1,0.15%,1,0.15%,1,1.50%
99,854,鹏华养老产业股票,PHYLCYGP,16.0105,,0,2016/4/1,1.143,1.143,2017/3/31,1.326,1.326,2014/12/2,1,0.15%,1,0.15%,1,1.50%
100,481012,工银深证红利ETF联接A,GYSZHLETFLJA,15.7682,0.1782,1,2016/4/1,1.0855,1.0855,2017/3/31,1.061,1.2392,2010/11/9,1,0.10%,1,0.10%,1,1.00%
101,510150,招商上证消费80ETF,ZSSZXF80ETF,15.6583,,0,2016/4/1,3.57,1.177,2017/3/31,4.129,1.361,2010/12/8,,,,,,
102,502006,易方达中证国企改革(LOF)A,YFDZZGQGGLOFA,15.646,,0,2016/4/1,0.8916,0.4711,2017/3/31,1.0049,,2015/6/15,1,0.10%,1,0.10%,1,1.00%
103,376510,上投摩根大盘蓝筹股票,STMGDPLCGP,15.5226,,0,2016/4/1,1.282,1.282,2017/3/31,1.481,1.481,2010/12/20,1,0.15%,1,0.15%,1,1.50%
104,510660,华夏医药ETF,HXYYETF,15.5045,,0,2016/4/1,1.3925,1.3925,2017/3/31,1.6084,1.6084,2013/3/28,,,,,,
105,519116,浦银安盛沪深300指数增强,PYASHS300ZSZQ,15.4917,,0,2016/4/1,1.078,1.078,2017/3/31,1.245,1.245,2010/12/10,1,0.12%,1,0.12%,1,1.20%
106,1015,华夏沪深300指数增强A,HXHS300ZSZQA,15.4639,,0,2016/4/1,1.067,1.067,2017/3/31,1.232,1.232,2015/2/10,1,0.12%,1,0.12%,1,1.20%
107,519677,银河定投宝腾讯济安指数,YHDTBTXJAZS,15.4148,,0,2016/4/1,1.531,1.531,2017/3/31,1.767,1.767,2014/3/14,1,0.00%,,0.00%,0,0.00%
108,160133,南方天元新产业股票(LOF),NFTYXCYGPLOF,15.3659,,0,2016/4/1,1.64,1.64,2017/3/31,1.892,1.892,2014/7/3,1,0.15%,1,0.15%,1,1.50%
109,1105,信达澳银转型创新股票,XDAYZXCXGP,15.3184,,0,2016/4/1,0.581,0.581,2017/3/31,0.67,0.67,2015/4/15,1,0.15%,1,0.15%,1,1.50%
110,540007,汇丰晋信中小盘股票,HFJXZXPGP,15.3176,,0,2016/4/1,1.0217,1.0417,2017/3/31,1.1782,1.1982,2009/12/11,1,0.15%,1,0.15%,1,1.50%
111,1208,诺安低碳经济股票A,NADTJJGPA,15.2113,,0,2016/4/1,0.71,0.71,2017/3/31,0.818,0.818,2015/5/12,1,0.15%,1,0.15%,1,1.50%
112,161032,富国中证煤炭指数(LOF)A,FGZZMTZSLOFA,15.2101,,0,2016/4/1,1.027,0.612,2017/3/31,1.152,0.705,2015/6/19,1,0.00%,,,,
113,110003,易方达上证50增强A,YFDSZ50ZQA,15.2071,,0,2016/4/1,0.9489,2.7989,2017/3/31,1.0932,2.9432,2004/3/22,1,0.15%,1,0.15%,1,1.50%
114,70023,嘉实深证基本面120联接A,JSSZJBM120LJA,15.1872,,0,2016/4/1,1.282,1.282,2017/3/31,1.4767,1.4767,2011/8/1,1,0.12%,1,0.12%,1,1.20%
115,1016,华夏沪深300指数增强C,HXHS300ZSZQC,15,,0,2016/4/1,1.06,1.06,2017/3/31,1.219,1.219,2015/2/10,1,0.00%,,,,
116,165520,信诚中证800有色指数(LOF)A,XCZZ800YSZSLOFA,14.986,,0,2016/4/1,0.953,1.134,2017/3/31,1.071,1.221,2013/8/30,1,0.12%,1,0.12%,1,1.20%
117,50002,博时沪深300指数A,BSHS300ZSA,14.8912,,0,2016/4/1,1.0758,3.0678,2017/3/31,1.236,3.228,2003/8/26,1,0.15%,1,0.15%,1,1.50%
118,161907,万家中证红利指数(LOF)A,WJZZHLZSLOFA,14.707,,0,2016/4/1,1.3259,1.3259,2017/3/31,1.5209,1.5209,2011/3/17,1,0.15%,1,0.15%,1,1.50%
119,866,华宝制造股票,HBZZGP,14.5532,,0,2016/4/1,1.175,1.175,2017/3/31,1.346,1.346,2014/12/10,1,0.15%,1,0.15%,1,1.50%
120,916,前海开源股息率100强股票,QHKYGXL100QGP,14.5349,0.2,1,2016/4/1,1.205,1.205,2017/3/31,1.174,1.374,2015/1/13,1,0.15%,1,0.15%,1,1.50%
121,1705,泓德战略转型股票,HDZLZXGP,14.4942,,0,2016/4/1,1.028,1.028,2017/3/31,1.177,1.177,2015/11/10,1,0.15%,1,0.15%,1,1.50%
122,867,华宝品质生活股票,HBPZSHGP,14.489,,0,2016/4/1,0.773,0.823,2017/3/31,0.885,0.935,2015/1/21,1,0.15%,1,0.15%,1,1.50%
123,2385,博时沪深300指数C,BSHS300ZSC,14.4319,,0,2016/4/1,1.0747,1.0747,2017/3/31,1.2298,1.2298,2016/1/26,1,0.00%,,,,
124,160615,鹏华沪深300指数(LOF)A,PHHS300ZSLOFA,14.2738,,0,2016/4/1,1.205,1.265,2017/3/31,1.377,1.437,2009/4/3,1,0.12%,1,0.12%,1,1.20%
125,217017,招商上证消费80ETF联接A,ZSSZXF80ETFLJA,14.2361,,0,2016/4/1,1.152,1.152,2017/3/31,1.316,1.316,2010/12/8,1,0.15%,1,0.15%,1,1.50%
126,159908,博时创业板ETF,BSCYBETF,14.225,,0,2016/4/1,1.1297,1.1297,2017/3/31,1.2904,1.2904,2011/6/10,,0.05%,,,,
127,510030,华宝上证180价值ETF,HBSZ180JZETF,14.1642,,0,2016/4/1,3.643,1.247,2017/3/31,4.159,1.424,2010/4/23,,,,,,
128,240014,华宝中证100指数A,HBZZ100ZSA,14.1148,,0,2016/4/1,0.9444,0.9444,2017/3/31,1.0777,1.0777,2009/9/29,1,0.12%,1,0.12%,1,1.20%
129,1163,银华中国梦30股票,YHZGM30GP,14.0221,,0,2016/4/1,0.813,0.813,2017/3/31,0.927,0.927,2015/4/29,1,0.15%,1,0.15%,1,1.50%
130,1677,中银战略新兴产业股票A,ZYZLXXCYGPA,14.0021,,0,2016/4/1,0.957,0.957,2017/3/31,1.091,1.091,2015/11/26,1,0.15%,1,0.15%,1,1.50%
131,167503,安信中证一带一路主题指数,AXZZYDYLZTZS,13.9004,,0,2016/4/1,0.751,0.4,2017/3/31,0.831,0.502,2015/5/14,1,0.05%,1,0.05%,1,0.50%
132,162216,泰达中证500指数增强(LOF),TDZZ500ZSZQLOF,13.8101,,0,2016/4/1,0.8953,2.0136,2017/3/31,0.998,2.1363,2011/12/1,1,0.12%,1,0.12%,1,1.20%
133,1643,汇丰晋信智造先锋股票A,HFJXZZXFGPA,13.4971,,0,2016/4/1,0.9076,0.9076,2017/3/31,1.0301,1.0301,2015/9/30,1,0.15%,1,0.15%,1,1.50%
134,160634,鹏华中证环保产业指数(LOF),PHZZHBCYZSLOF,13.4178,,0,2016/4/1,1.025,0.687,2017/3/31,1.135,0.778,2015/6/16,1,0.12%,1,0.12%,1,1.20%
135,240016,华宝上证180价值联接,HBSZ180JZLJ,13.3694,,0,2016/4/1,1.294,1.324,2017/3/31,1.467,1.497,2010/4/23,1,0.15%,1,0.15%,1,1.50%
136,217016,招商深证100指数A,ZSSZ100ZSA,13.3076,,0,2016/4/1,1.037,1.037,2017/3/31,1.175,1.175,2010/6/22,1,0.12%,1,0.12%,1,1.20%
137,1685,汇添富沪港深新价值股票,HTFHGSXJZGP,13.3,,0,2016/7/27,1,1,2017/3/31,1.133,1.133,2016/7/27,1,0.15%,1,0.15%,1,1.50%
138,1039,嘉实先进制造股票,JSXJZZGP,13.2612,,0,2016/4/1,0.739,0.739,2017/3/31,0.837,0.837,2015/4/24,1,0.15%,1,0.15%,1,1.50%
139,165511,中信保诚中证500指数(LOF)A,ZXBCZZ500ZSLOFA,13.2326,,0,2016/4/1,1.146,1.73,2017/3/31,1.278,1.808,2011/2/11,1,0.12%,1,0.12%,1,1.20%
140,159913,交银深证300价值ETF,JYSZ300JZETF,13.1208,,0,2016/4/1,1.349,1.349,2017/3/31,1.526,1.526,2011/9/22,,,,,,
141,985,嘉实逆向策略股票,JSNXCLGP,13.0952,,0,2016/4/1,1.008,1.008,2017/3/31,1.14,1.14,2015/2/2,1,0.15%,1,0.15%,1,1.50%
142,450008,国富沪深300指数增强,GFHS300ZSZQ,13.0833,,0,2016/4/1,1.2,1.2,2017/3/31,1.357,1.357,2009/9/3,1,0.12%,1,0.12%,1,1.20%
143,2311,创金合信中证500指数增强A,CJHXZZ500ZSZQA,12.9979,,0,2016/4/1,0.8586,0.8586,2017/3/31,0.9702,0.9702,2015/12/31,1,0.15%,1,0.15%,1,1.50%
144,161121,易方达中证银行指数(LOF)A,YFDZZYHZSLOFA,12.9763,,0,2016/4/1,0.7938,0.7938,2017/3/31,0.8674,,2015/6/3,1,0.10%,1,0.10%,1,1.00%
